Pilar;Categoria;Subcategoria;Detalle;Peso;Nota
Renta Variable;;;;65;
;Acciones;;;75;"3000 €/empresa; diversificar por sectores"
;;Dividendos;;95;reparto por sector en objetivo_sectores.csv (por escenario)
;;Crecimiento;;5;"oportunidades; 7-8 empresas"
;Fondos y carteras;;;20;"plano; ajustar sin invertir en los 3 primeros"
;ETFs;;;5;
;;Regiones;;60;
;;;Global;50;obj 8000 €
;;;Desarrollados;20;obj 2000 €
;;;Emergentes;30;"obj 3000 €; FRK FTSE India"
;;Tematicas;;40;
;;;IA;26;GX Robotics AI
;;;Uranio;26;Global X Uranium
;;;ETF 1;16;por adquirir
;;;ETF 2;16;por adquirir
;;;ETF 3;16;por adquirir
Renta Fija;;;;12;solo bonos/iBonds (el crowdlending va en Inv. Alternativas)
;Bloque conservador;;;28;solo AAA
;Bloque rentabilidad;;;36;resto
;Bloque indexada;;;36;Indexada a IPC
Materias Primas;;;;6;
Criptoactivos;;;;5;
;BTC;;;25;Trezor
;;Hold;;100;Trezor
;ETH;;;75;
;;Staking;;60;wstETH · Lido
;;Yield farming;;32;
;;;Pool ancha (-20/+25);20;Pancake
;;;Pool automatizada;50;Beefy
;;;Pool estrecha;30;Pancake
;;Perps;;8;GMX
Inversiones Alternativas;;;;5;
;Prestamos;;;90;crowdlending Mintos
;Bonos;;;10;crowdlending Mintos
Inmobiliario;;;;4;
Liquidez;;;;2;
Negocios;;;;1;start-ups
